RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,LANG_PREF,SURVEYSTARTDATE,SURVEYENDDATE,BWAVE,BIDENT1_GEOSTRATA,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,INFRASPEND,MOREGUNIMPACT,GAMBLERESTR,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSEa,SMUSEb,SMUSEc,SMUSEd,SMUSEe,SMUSEf,SMUSEg,SMUSEh,SMUSEi,SMUSEj,SMUSEk,RADIO,GPT1,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACEMOD_1,RACEMOD_2,RACEMOD_3,RACEMOD_4,RACEMOD_5,RACEMOD_6,RACEMOD_99,RACEMOD_MIXEDOE,RACECMB,RACETHN,AGE,AGECAT,BIRTHPLACE,GENDER,MARITAL,EDUCATION,EDUCCAT,ADULTS,VOTED2020,VOTEGEN_POST,INC_SDT1,CREGION,DIVISION,METRO,BASEWT,WEIGHT
2.0,Online,English,English,English,20240222,20240222,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Poor,Worse,Suburban,Americans are united when it comes to the most important values,Very safe,Increase a lot,More crime,Restrictions on gambling are about right,"Yes, self",Yes,Yes,Yes,Almost constantly,Almost constantly,No,,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this",No,A little,"Yes, have a cell phone","Yes, smartphone",No,Agnostic,Unaffiliated,"No, not born-again or evangelical Christian",Seldom,Seldom,Not too important,A few times a month,Yes,Democrat,,Dem/Lean Dem,No,Not selected,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,Black or African-American,Black non-Hispanic,25.0,18-29,Another country,A man,Never married,Some college credit but no degree,Some College,4.0,Yes,"Joe Biden, the Democrat","$40,000 to less than $50,000",South,East South Central,Metropolitan,1.1651053515302612,4.877291002782219
4.0,Online,English,English,English,20240220,20240220,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Poor,Worse,Suburban,Americans are divided when it comes to the most important values,Very safe,Decrease a lot,No difference,There should be FEWER restrictions on gambling than there are today,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this",No,A lot,"Yes, have a cell phone","Yes, smartphone",No,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",Never,Never,Not too important,Once a day,Yes,Something else,Don't know/Refused/Web blank,DK/Refused/No lean,Yes,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,Hispanic,24.0,18-29,"U.S. - 50 states, District of Columbia",A woman,Living with a partner,Regular high school diploma or GED,H.S. graduate or less,2.0,No,,"Less than $30,000",South,West South Central,Metropolitan,0.7767369010201741,2.325334468798309
8.0,Online,English,English,English,20240203,20240203,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Excellent,Better,Urban,Americans are divided when it comes to the most important values,Extremely safe,Increase a lot,More crime,There should be MORE restrictions on gambling than there are today,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",No,Atheist,Unaffiliated,"No, not born-again or evangelical Christian",Never,Never,Very important,Never,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,32.0,30-49,Another country,A man,Married,Master's degree or higher,College graduate+,2.0,No,,"$100,000 or more",Northeast,Middle Atlantic,Metropolitan,0.7767369010201741,0.7461367001220842
13.0,Paper,English,English,,,20240429,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Poor,Better,Urban,Americans are divided when it comes to the most important values,Not at all safe,Increase a little,Less crime,There should be MORE restrictions on gambling than there are today,"Yes, someone else in household",No,Yes,Yes,About once a day,Daily or several times a week,No,,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,Orthodox,Other,"No, not born-again or evangelical Christian",Seldom,Seldom,Very important,Several times a day,No,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,72.0,65+,Another country,A woman,Living with a partner,Some college credit but no degree,Some College,1.0,Yes,"Donald Trump, the Republican","Less than $30,000",Midwest,East North Central,Metropolitan,0.7767369010201741,0.4176971617454243
16.0,Paper,English,,,,20240425,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,Better,Suburban,Americans are united when it comes to the most important values,Very safe,Increase a little,Less crime,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Almost constantly,Almost constantly,No,,"Yes, use this","Yes, use this",Don't know/Refused/Web blank,"Yes, use this",Don't know/Refused/Web blank,"Yes, use this",Don't know/Refused/Web blank,Don't know/Refused/Web blank,"Yes, use this",Don't know/Refused/Web blank,Don't know/Refused/Web blank,Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,Roman Catholic,Catholic,"No, not born-again or evangelical Christian",Seldom,Never,Not too important,Several times a day,No,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,57.0,50-64,"U.S. - 50 states, District of Columbia",A man,Never married,"Bachelor's degree (such as BA, BS)",College graduate+,1.0,No,,"$30,000 to less than $40,000",Northeast,Middle Atlantic,Metropolitan,0.7767369010201741,0.5466898509129716
18.0,Online,English,English,English,20240206,20240206,Soft Launch,"7 = 75%+ Hispanic, 65%+ HS or less",Poor,About the same,Urban,Americans are divided when it comes to the most important values,Not too safe,Increase a lot,No difference,Restrictions on gambling are about right,"Yes, someone else in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone",Don't know/Refused/Web blank,Yes,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",A few times a year,More than once a week,Very important,Several times a day,Not sure,Something else,The Democratic Party,Dem/Lean Dem,Yes,Selected,Selected,Not selected,Selected,Not selected,Not selected,Not selected,No,Mixed Race,Hispanic,35.0,30-49,"U.S. - 50 states, District of Columbia",A woman,Never married,Regular high school diploma or GED,H.S. graduate or less,2.0,Yes,"Joe Biden, the Democrat","Less than $30,000",Midwest,East North Central,Metropolitan,0.1283001904335133,0.18245538530228225
20.0,Paper,English,English,,,20240514,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,About the same,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Increase a lot,No difference,Restrictions on gambling are about right,"Yes, self",Yes,Yes,No,Several times a week,Daily or several times a week,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","No, not a smartphone",Yes,Roman Catholic,Catholic,"No, not born-again or evangelical Christian",Once a week,A few times a year,Very important,A few times a week,Yes,Independent,The Republican Party,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,89.0,65+,"U.S. - 50 states, District of Columbia",A man,Married,"Bachelor's degree (such as BA, BS)",College graduate+,2.0,Yes,"Donald Trump, the Republican",Don't know/Refused/Web blank,South,South Atlantic,Metropolitan,1.5534738020403482,0.7647588406700703
21.0,Paper,English,,,,20240425,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Poor,Worse,Rural,Americans are divided when it comes to the most important values,Very safe,Increase a lot,Less crime,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",No,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Never,Never,Not too important,Never,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,55.0,50-64,"U.S. - 50 states, District of Columbia",A man,Married,Regular high school diploma or GED,H.S. graduate or less,3.0,Yes,"Donald Trump, the Republican","$100,000 or more",Midwest,West North Central,Non-metropolitan,2.3302107030605224,3.3300465651860782
22.0,Paper,English,English,,,20240430,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Worse,Suburban,Americans are divided when it comes to the most important values,Extremely safe,Stay about the same,No difference,There should be MORE restrictions on gambling than there are today,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",Yes,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Once or twice a month,Never,Not too important,Seldom,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,56.0,50-64,"U.S. - 50 states, District of Columbia",A man,Married,Master's degree or higher,College graduate+,4.0,Yes,"Joe Biden, the Democrat","$100,000 or more",South,South Atlantic,Metropolitan,2.3302107030605224,2.036757330768611
25.0,Online,English,English,English,20240209,20240209,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Better,Rural,Americans are divided when it comes to the most important values,Extremely safe,Increase a little,More crime,There should be MORE restrictions on gambling than there are today,"Yes, someone else in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",Yes,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",More than once a week,Never,Very important,Several times a day,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,87.0,65+,Another country,A woman,Widowed,Master's degree or higher,College graduate+,1.0,Yes,"Joe Biden, the Democrat","Less than $30,000",South,South Atlantic,Non-metropolitan,0.38836845051008706,0.33262074876074554
