RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,STRATUM,INTERVIEW_START,INTERVIEW_END,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,GOVPROTCT,MOREGUNIMPACT,FIN_SIT,VET1,VOL12_CPS,INTFREQ,INTFREQ_COLLAPSED,RADIO,NHISLL,RELIGCAT1,EDUCCAT,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACECMB,RACETHN,AGEGRP,AGECAT,BIRTHPLACE,GENDER,ADULTS,VOTED2024,VOTEGEN_POST,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
1470.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-27,2025-05-27,Poor,Worse,Rural,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,More crime,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Unaffiliated,College graduate+,Yes,Independent,The Democratic Party,Dem/Lean Dem,No,Mixed Race,Other,70-74,65+,"U.S. - 50 states, District of Columbia",A woman,1,Yes,"Kamala Harris, the Democrat","$30,000 to less than $40,000",West,Metropolitan,0.802200473100524,0.4970381168247493
2374.0,Paper,English,,"7 = 75%+ Hispanic, 65%+ HS or less",2025-05-01,2025-05-01,Only fair,Worse,Urban,Americans are divided when it comes to the most important values,Somewhat safe,It's not the government's job to protect people from themselves,No difference,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Protestant,Some College,Yes,Democrat,,Dem/Lean Dem,No,Black or African-American,Black non-Hispanic,65-69,65+,"U.S. - 50 states, District of Columbia",A man,4,Yes,"Kamala Harris, the Democrat","$70,000 to less than $100,000",West,Metropolitan,0.5324944802748801,0.30708148116018624
1177.0,Phone,English,Spanish,"5 = 50%-74.99% Hispanic, 65%+ HS or less",2025-03-04,2025-03-04,Good,Better,Rural,Americans are divided when it comes to the most important values,Very safe,It's not the government's job to protect people from themselves,Less crime,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Protestant,Some College,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,65-69,65+,"U.S. - 50 states, District of Columbia",A woman,2,Yes,"Donald Trump, the Republican","$30,000 to less than $40,000",West,Metropolitan,1.249641554226438,0.6468503180639644
15459.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-05,2025-05-05,Only fair,About the same,Rural,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,No difference,Don't even have enough to meet basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Protestant,Some College,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,45-49,30-49,"U.S. - 50 states, District of Columbia",A man,2,Yes,"Donald Trump, the Republican","Less than $30,000",Midwest,Non-metropolitan,1.604400946201048,1.3112447745158515
9849.0,Online,English,English,"9 = Remaining CBG, 65%+ HS or less",2025-02-22,2025-02-22,Good,Better,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,It's not the government's job to protect people from themselves,Less crime,Live comfortably,"No, nobody in household",Yes,Several times a day,Several times a day,Yes,No,Protestant,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,65-69,65+,"U.S. - 50 states, District of Columbia",A man,4,Yes,"Donald Trump, the Republican","$150,000 or more",Northeast,Metropolitan,0.6763508941015829,0.241760653952065
8178.0,Phone,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-10,2025-03-10,Good,Worse,Urban,Americans are united when it comes to the most important values,Very safe,It's not the government's job to protect people from themselves,Less crime,Live comfortably,"No, nobody in household",Yes,I do not use the internet,Less often or does not use the internet,No,Yes,Catholic,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,80+,65+,"U.S. - 50 states, District of Columbia",A man,2,Yes,Refused/Web blank,Refused/Web blank,Midwest,Metropolitan,1.604400946201048,0.6940787421267808
3682.0,Online,English,English,"4 = 75%+ Black non-Hispanic, NOT 65%+ HS or less",2025-02-27,2025-02-27,Only fair,Worse,Urban,Americans are divided when it comes to the most important values,Somewhat safe,Sometimes laws to protect people from themselves are necessary,More crime,Meet my basic expenses with a little left over for extras,"Yes, someone else in household",Yes,Several times a day,Several times a day,Yes,Yes,Catholic,College graduate+,Yes,Independent,The Democratic Party,Dem/Lean Dem,No,Black or African-American,Black non-Hispanic,50-54,50-64,"U.S. - 50 states, District of Columbia",A man,3,Yes,"Kamala Harris, the Democrat","$100,000 to less than $125,000",South,Metropolitan,1.261163338169648,1.1222980961288298
6999.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-12,2025-05-12,Only fair,About the same,Rural,Americans are divided when it comes to the most important values,Somewhat safe,It's not the government's job to protect people from themselves,No difference,Meet my basic expenses with a little left over for extras,"No, nobody in household",Yes,About once a day,Daily or several times a week,Yes,No,Protestant,Some College,Yes,Independent,The Republican Party,Rep/Lean Rep,No,White,White non-Hispanic,80+,65+,"U.S. - 50 states, District of Columbia",A woman,2,Yes,"Donald Trump, the Republican","$70,000 to less than $100,000",West,Non-metropolitan,1.604400946201048,0.8561414189126726
9945.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-09,2025-05-09,Only fair,Worse,Rural,Americans are divided when it comes to the most important values,Somewhat safe,It's not the government's job to protect people from themselves,Less crime,Just meet my basic expenses,"No, nobody in household",No,Almost constantly,Almost constantly,Yes,No,Protestant,College graduate+,Yes,Independent,The Republican Party,Rep/Lean Rep,No,White,White non-Hispanic,60-64,50-64,"U.S. - 50 states, District of Columbia",A woman,2,Yes,"Donald Trump, the Republican","$50,000 to less than $70,000",South,Metropolitan,1.604400946201048,1.0099203754230932
1901.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-01,2025-03-01,Excellent,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,Less crime,Meet my basic expenses with a little left over for extras,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Catholic,Some College,Yes,Democrat,,Dem/Lean Dem,Yes,White,Hispanic,45-49,30-49,"U.S. - 50 states, District of Columbia",A woman,3,Yes,"Kamala Harris, the Democrat","$125,000 to less than $150,000",West,Metropolitan,1.2033007096507862,0.6885205028463798
