RELIG,GENDER,Count
Agnostic,Female,546
Agnostic,Male,608
Agnostic,Other,13
Atheist,Female,390
Atheist,Male,587
Atheist,Other,18
Buddhist,Female,88
Buddhist,Male,97
Buddhist,Other,1
Hindu,Female,40
Hindu,Male,103
Hindu,Other,1
Jewish,Female,197
Jewish,Male,218
Jewish,Other,5
Mormon,Female,149
Mormon,Male,142
Mormon,Other,2
Muslim,Female,61
Muslim,Male,90
Muslim,Other,1
Nothing in particular,Female,2219
Nothing in particular,Male,1601
Nothing in particular,Other,47
Orthodox,Female,80
Orthodox,Male,58
Other,Female,361
Other,Male,250
Other,Other,22
Protestant,Female,6015
Protestant,Male,3939
Protestant,Other,21
Roman Catholic,Female,2783
Roman Catholic,Male,2171
Roman Catholic,Other,9
