AGE,AGEGRP,AGEGRP2
-1.0,nan,N/A
18.0,nan,18-24
19.0,nan,18-24
20.0,nan,18-24
21.0,nan,18-24
22.0,nan,18-24
23.0,nan,18-24
24.0,nan,18-24
25.0,nan,25-39
26.0,nan,25-39
27.0,nan,25-39
28.0,nan,25-39
29.0,nan,25-39
30.0,nan,25-39
31.0,nan,25-39
32.0,nan,25-39
33.0,nan,25-39
34.0,nan,25-39
35.0,nan,25-39
36.0,nan,25-39
37.0,nan,25-39
38.0,nan,25-39
39.0,nan,25-39
40.0,nan,40-59
41.0,nan,40-59
42.0,nan,40-59
43.0,nan,40-59
44.0,nan,40-59
45.0,nan,40-59
46.0,nan,40-59
47.0,nan,40-59
48.0,nan,40-59
49.0,nan,40-59
50.0,nan,40-59
51.0,nan,40-59
52.0,nan,40-59
53.0,nan,40-59
54.0,nan,40-59
55.0,nan,40-59
56.0,nan,40-59
57.0,nan,40-59
58.0,nan,40-59
59.0,nan,40-59
60.0,nan,60-79
61.0,nan,60-79
62.0,nan,60-79
63.0,nan,60-79
64.0,nan,60-79
65.0,nan,60-79
66.0,nan,60-79
67.0,nan,60-79
68.0,nan,60-79
69.0,nan,60-79
70.0,nan,60-79
71.0,nan,60-79
72.0,nan,60-79
73.0,nan,60-79
74.0,nan,60-79
75.0,nan,60-79
76.0,nan,60-79
77.0,nan,60-79
78.0,nan,60-79
79.0,nan,60-79
80.0,nan,80+
81.0,nan,80+
82.0,nan,80+
83.0,nan,80+
84.0,nan,80+
85.0,nan,80+
86.0,nan,80+
87.0,nan,80+
88.0,nan,80+
89.0,nan,80+
90.0,nan,80+
91.0,nan,80+
92.0,nan,80+
93.0,nan,80+
94.0,nan,80+
95.0,nan,80+
96.0,nan,80+
97.0,nan,80+
98.0,nan,80+
99.0,nan,80+
100.0,nan,80+
101.0,nan,80+
103.0,nan,80+
,nan,N/A
,70-74,60-79
,65-69,60-79
,45-49,40-59
,80+,80+
,50-54,40-59
,60-64,60-79
,55-59,40-59
,35-39,25-39
,25-29,25-39
,75-79,60-79
,40-44,40-59
,18-24,18-24
,30-34,25-39
,Refused,N/A
